City,Airport,IATA Code
Dublin,Dublin Airport,DUB
London,London Stansted Airport,STN
Brussels,Brussels South Charleroi Airport,CRL
Milan,Bergamo Airport,BGY
Málaga,Málaga Airport,AGP
Alicante,Alicante Airport,ALC
Manchester,Manchester Airport,MAN
Vienna,Vienna International Airport,VIE
Palma de Mallorca,Palma de Mallorca Airport,PMI
Kraków,Kraków John Paul II International Airport,KRK
Porto,Francisco Sá Carneiro Airport,OPO
Paris,Paris Beauvais Tille Airport,BVA
Barcelona,Barcelona El Prat Airport,BCN
Edinburgh,Edinburgh Airport,EDI
Budapest,Budapest Ferenc Liszt International Airport, BUD
Malta,Malta International Airport,MLA
Bologna,Bologna Guglielmo Marconi Airport,BLQ
Marseille,Marseille Provence Airport,MRS
Madrid,Adolfo Suárez Madrid–Barajas Airport,MAD
Pisa,Pisa International Airport,PSA
Berlin,Berlin Brandenburg Airport,BER
Warsaw,Warsaw Modlin Airport,WMI
Wrocław,Wrocław Copernicus Airport,WRO
Palermo,Palermo Airport,PMO
Weeze,Weeze Airport,NRN
Gdańsk,Gdańsk Lech Wałęsa Airport,GDN
Lisbon,Lisbon Airport,LIS
Cagliari,Cagliari Elmas Airport,CAG
